2016-04-06 01:46:22,009 - web_control - INFO - opened new WebSocketChatHandler
2016-04-06 01:46:22,481 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,516 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,561 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,615 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,663 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,714 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,766 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,814 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,913 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,933 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:22,966 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,035 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,065 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,114 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,165 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,214 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,265 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,316 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,365 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,418 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,465 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:23,515 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
